                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4063,                 2.1252,                 1.7579,                0.39311,                0.42487,                0.34064,                0.11225,                  2.064,                 2.7788,                 3.0555,             0.00066019,             0.00066019,             0.00066019
                      2,                 1.4226,                 1.7809,                 1.7723,                0.36086,                0.43523,                0.31496,                0.10062,                 2.3844,                 2.3983,                   3.08,              0.0012612,              0.0012612,              0.0012612
                      3,                 1.4444,                 1.6518,                 1.7777,                0.49994,                0.44041,                0.43805,                0.20755,                 1.7939,                 1.9938,                   2.36,              0.0017962,              0.0017962,              0.0017962
                      4,                 1.3844,                 1.4425,                 1.7194,                0.34041,                0.34715,                0.24702,                0.09541,                 2.6419,                 2.1473,                 3.1613,               0.001703,               0.001703,               0.001703
                      5,                  1.366,                 1.3657,                 1.6774,                0.73415,                0.67876,                0.67058,                0.27402,                 1.8572,                 1.5546,                   2.43,               0.001703,               0.001703,               0.001703
                      6,                 1.2847,                 1.2464,                 1.6228,                0.52042,                0.49741,                0.47565,                0.20421,                  2.115,                 2.0519,                 3.1599,               0.001604,               0.001604,               0.001604
                      7,                 1.2325,                 1.1563,                 1.5771,                0.81344,                0.67777,                 0.7451,                0.42441,                 1.5059,                 1.2208,                 2.0395,               0.001505,               0.001505,               0.001505
                      8,                  1.169,                 1.0708,                 1.5279,                0.81093,                0.75559,                0.83852,                0.44431,                 1.5445,                 1.1304,                 2.0474,               0.001406,               0.001406,               0.001406
                      9,                  1.135,                 1.0213,                 1.4955,                 0.8253,                0.72539,                0.79809,                0.49904,                 1.4334,                 1.0371,                 1.9445,               0.001307,               0.001307,               0.001307
                     10,                 1.0758,                 0.9591,                 1.4652,                0.82941,                0.81347,                0.86764,                0.53681,                 1.3273,                0.96287,                 1.7773,               0.001208,               0.001208,               0.001208
                     11,                0.95125,                0.72152,                 1.4869,                0.87885,                0.81865,                0.89671,                0.60237,                  1.208,                0.89069,                  1.761,               0.001109,               0.001109,               0.001109
                     12,                0.84598,                0.59878,                 1.3845,                 0.8827,                0.82383,                0.91117,                0.57883,                 1.2979,                0.84798,                  1.797,                0.00101,                0.00101,                0.00101
                     13,                0.82341,                0.55869,                 1.3577,                0.87021,                0.86528,                0.91472,                0.63263,                 1.1438,                0.70637,                 1.6488,               0.000911,               0.000911,               0.000911
                     14,                0.73999,                0.49172,                  1.278,                0.91906,                0.88601,                0.94105,                0.68212,                 1.0483,                0.66415,                 1.5273,               0.000812,               0.000812,               0.000812
                     15,                0.68555,                0.45927,                 1.2451,                0.94556,                0.89994,                0.95928,                0.70152,                 1.0245,                0.56917,                 1.5149,               0.000713,               0.000713,               0.000713
                     16,                0.63724,                0.41815,                 1.1917,                0.92297,                0.93129,                0.92509,                0.70674,                0.95182,                0.52075,                 1.4513,               0.000614,               0.000614,               0.000614
                     17,                0.60395,                0.39603,                 1.1573,                0.97004,                0.91192,                0.96332,                0.75135,                0.84686,                0.51372,                 1.3525,               0.000515,               0.000515,               0.000515
                     18,                0.57337,                0.36597,                 1.1215,                0.94766,                0.93822,                0.97467,                0.79171,                0.79025,                0.46222,                 1.2874,               0.000416,               0.000416,               0.000416
                     19,                0.52581,                0.34372,                 1.0885,                 0.9513,                0.93264,                0.97246,                0.80058,                0.78862,                 0.4455,                 1.2983,               0.000317,               0.000317,               0.000317
                     20,                0.48365,                0.31961,                 1.0586,                0.97366,                0.95772,                0.97519,                0.80652,                0.75254,                0.41685,                 1.2376,               0.000218,               0.000218,               0.000218
